year,state,state_name,region,unemp_rate
2000,MD,Maryland,South,2.22
2001,MD,Maryland,South,3.75
2002,MD,Maryland,South,5.79
2003,MD,Maryland,South,3.01
2004,MD,Maryland,South,5.42
2005,MD,Maryland,South,6.94
2006,MD,Maryland,South,5.18
2007,MD,Maryland,South,3.7
2008,MD,Maryland,South,3.1
2009,MD,Maryland,South,5.66
2010,MD,Maryland,South,5.94
2011,MD,Maryland,South,10.01
2012,MD,Maryland,South,5.31
2013,MD,Maryland,South,3.24
2014,MD,Maryland,South,2.66
2015,MD,Maryland,South,2.96
2016,MD,Maryland,South,4.05
2017,MD,Maryland,South,2.57
2018,MD,Maryland,South,7.09
2019,MD,Maryland,South,4.82
2020,MD,Maryland,South,9.23
2021,MD,Maryland,South,6.36
2022,MD,Maryland,South,6.61
2023,MD,Maryland,South,6.36
2024,MD,Maryland,South,3.55
2000,MA,Massachusetts,Northeast,6.12
2001,MA,Massachusetts,Northeast,5.66
2002,MA,Massachusetts,Northeast,3.76
2003,MA,Massachusetts,Northeast,3.24
2004,MA,Massachusetts,Northeast,5.44
2005,MA,Massachusetts,Northeast,3.29
2006,MA,Massachusetts,Northeast,7.23
2007,MA,Massachusetts,Northeast,5.3
2008,MA,Massachusetts,Northeast,4.43
2009,MA,Massachusetts,Northeast,7.32
2010,MA,Massachusetts,Northeast,8.17
2011,MA,Massachusetts,Northeast,7.55
2012,MA,Massachusetts,Northeast,7.36
2013,MA,Massachusetts,Northeast,2.79
2014,MA,Massachusetts,Northeast,1.94
2015,MA,Massachusetts,Northeast,5.32
2016,MA,Massachusetts,Northeast,4.49
2017,MA,Massachusetts,Northeast,4.98
2018,MA,Massachusetts,Northeast,5.41
2019,MA,Massachusetts,Northeast,5.88
2020,MA,Massachusetts,Northeast,11.87
2021,MA,Massachusetts,Northeast,4.71
2022,MA,Massachusetts,Northeast,4.69
2023,MA,Massachusetts,Northeast,3.24
2024,MA,Massachusetts,Northeast,2.74
2000,MI,Michigan,Midwest,5.41
2001,MI,Michigan,Midwest,3.07
2002,MI,Michigan,Midwest,4.91
2003,MI,Michigan,Midwest,5.92
2004,MI,Michigan,Midwest,3.57
2005,MI,Michigan,Midwest,4.18
2006,MI,Michigan,Midwest,2.53
2007,MI,Michigan,Midwest,7.88
2008,MI,Michigan,Midwest,5.96
2009,MI,Michigan,Midwest,8.31
2010,MI,Michigan,Midwest,9.14
2011,MI,Michigan,Midwest,8.29
2012,MI,Michigan,Midwest,6.0
2013,MI,Michigan,Midwest,3.89
2014,MI,Michigan,Midwest,5.13
2015,MI,Michigan,Midwest,4.2
2016,MI,Michigan,Midwest,5.78
2017,MI,Michigan,Midwest,3.05
2018,MI,Michigan,Midwest,3.3
2019,MI,Michigan,Midwest,6.34
2020,MI,Michigan,Midwest,11.63
2021,MI,Michigan,Midwest,5.58
2022,MI,Michigan,Midwest,2.94
2023,MI,Michigan,Midwest,3.67
2024,MI,Michigan,Midwest,3.13
2000,MN,Minnesota,Midwest,6.64
2001,MN,Minnesota,Midwest,5.27
2002,MN,Minnesota,Midwest,4.05
2003,MN,Minnesota,Midwest,6.42
2004,MN,Minnesota,Midwest,7.05
2005,MN,Minnesota,Midwest,5.53
2006,MN,Minnesota,Midwest,4.67
2007,MN,Minnesota,Midwest,6.33
2008,MN,Minnesota,Midwest,5.1
2009,MN,Minnesota,Midwest,8.47
2010,MN,Minnesota,Midwest,7.56
2011,MN,Minnesota,Midwest,6.0
2012,MN,Minnesota,Midwest,6.27
2013,MN,Minnesota,Midwest,5.1
2014,MN,Minnesota,Midwest,7.08
2015,MN,Minnesota,Midwest,4.0
2016,MN,Minnesota,Midwest,4.38
2017,MN,Minnesota,Midwest,2.73
2018,MN,Minnesota,Midwest,1.71
2019,MN,Minnesota,Midwest,3.27
2020,MN,Minnesota,Midwest,10.86
2021,MN,Minnesota,Midwest,4.05
2022,MN,Minnesota,Midwest,5.74
2023,MN,Minnesota,Midwest,6.1
2024,MN,Minnesota,Midwest,3.69
2000,MS,Mississippi,South,8.05
2001,MS,Mississippi,South,5.49
2002,MS,Mississippi,South,7.04
2003,MS,Mississippi,South,4.46
2004,MS,Mississippi,South,6.53
2005,MS,Mississippi,South,5.04
2006,MS,Mississippi,South,5.46
2007,MS,Mississippi,South,6.61
2008,MS,Mississippi,South,6.79
2009,MS,Mississippi,South,8.25
2010,MS,Mississippi,South,10.47
2011,MS,Mississippi,South,9.36
2012,MS,Mississippi,South,4.56
2013,MS,Mississippi,South,6.32
2014,MS,Mississippi,South,6.27
2015,MS,Mississippi,South,4.31
2016,MS,Mississippi,South,5.81
2017,MS,Mississippi,South,3.48
2018,MS,Mississippi,South,7.18
2019,MS,Mississippi,South,6.37
2020,MS,Mississippi,South,11.05
2021,MS,Mississippi,South,8.23
2022,MS,Mississippi,South,4.92
2023,MS,Mississippi,South,5.86
2024,MS,Mississippi,South,3.62
2000,MO,Missouri,Midwest,4.23
2001,MO,Missouri,Midwest,5.73
2002,MO,Missouri,Midwest,4.69
2003,MO,Missouri,Midwest,5.48
2004,MO,Missouri,Midwest,3.08
2005,MO,Missouri,Midwest,3.23
2006,MO,Missouri,Midwest,3.72
2007,MO,Missouri,Midwest,5.13
2008,MO,Missouri,Midwest,5.66
2009,MO,Missouri,Midwest,6.99
2010,MO,Missouri,Midwest,8.92
2011,MO,Missouri,Midwest,6.76
2012,MO,Missouri,Midwest,5.06
2013,MO,Missouri,Midwest,5.84
2014,MO,Missouri,Midwest,3.31
2015,MO,Missouri,Midwest,4.21
2016,MO,Missouri,Midwest,5.94
2017,MO,Missouri,Midwest,4.04
2018,MO,Missouri,Midwest,4.78
2019,MO,Missouri,Midwest,4.6
2020,MO,Missouri,Midwest,12.24
2021,MO,Missouri,Midwest,2.5
2022,MO,Missouri,Midwest,2.37
2023,MO,Missouri,Midwest,2.42
2024,MO,Missouri,Midwest,5.69
2000,MT,Montana,West,5.26
2001,MT,Montana,West,5.24
2002,MT,Montana,West,4.89
2003,MT,Montana,West,3.84
2004,MT,Montana,West,2.8
2005,MT,Montana,West,3.26
2006,MT,Montana,West,4.9
2007,MT,Montana,West,5.15
2008,MT,Montana,West,5.64
2009,MT,Montana,West,7.15
2010,MT,Montana,West,6.25
2011,MT,Montana,West,7.34
2012,MT,Montana,West,4.11
2013,MT,Montana,West,4.61
2014,MT,Montana,West,4.95
2015,MT,Montana,West,3.47
2016,MT,Montana,West,2.99
2017,MT,Montana,West,5.5
2018,MT,Montana,West,4.68
2019,MT,Montana,West,4.88
2020,MT,Montana,West,6.37
2021,MT,Montana,West,5.55
2022,MT,Montana,West,4.9
2023,MT,Montana,West,5.46
2024,MT,Montana,West,3.16
2000,NE,Nebraska,Midwest,5.42
2001,NE,Nebraska,Midwest,3.2
2002,NE,Nebraska,Midwest,4.32
2003,NE,Nebraska,Midwest,3.4
2004,NE,Nebraska,Midwest,4.67
2005,NE,Nebraska,Midwest,2.65
2006,NE,Nebraska,Midwest,4.73
2007,NE,Nebraska,Midwest,3.91
2008,NE,Nebraska,Midwest,4.99
2009,NE,Nebraska,Midwest,7.61
2010,NE,Nebraska,Midwest,9.42
2011,NE,Nebraska,Midwest,5.12
2012,NE,Nebraska,Midwest,6.2
2013,NE,Nebraska,Midwest,4.86
2014,NE,Nebraska,Midwest,3.74
2015,NE,Nebraska,Midwest,5.54
2016,NE,Nebraska,Midwest,4.18
2017,NE,Nebraska,Midwest,5.35
2018,NE,Nebraska,Midwest,3.29
2019,NE,Nebraska,Midwest,4.43
2020,NE,Nebraska,Midwest,11.17
2021,NE,Nebraska,Midwest,7.66
2022,NE,Nebraska,Midwest,4.49
2023,NE,Nebraska,Midwest,4.71
2024,NE,Nebraska,Midwest,3.19
2000,NV,Nevada,West,3.84
2001,NV,Nevada,West,3.13
2002,NV,Nevada,West,4.84
2003,NV,Nevada,West,2.99
2004,NV,Nevada,West,5.54
2005,NV,Nevada,West,6.48
2006,NV,Nevada,West,3.76
2007,NV,Nevada,West,4.95
2008,NV,Nevada,West,7.95
2009,NV,Nevada,West,7.95
2010,NV,Nevada,West,7.62
2011,NV,Nevada,West,6.32
2012,NV,Nevada,West,3.56
2013,NV,Nevada,West,6.26
2014,NV,Nevada,West,4.13
2015,NV,Nevada,West,6.37
2016,NV,Nevada,West,6.11
2017,NV,Nevada,West,4.13
2018,NV,Nevada,West,4.28
2019,NV,Nevada,West,7.39
2020,NV,Nevada,West,11.06
2021,NV,Nevada,West,6.67
2022,NV,Nevada,West,2.72
2023,NV,Nevada,West,5.91
2024,NV,Nevada,West,3.62
2000,NH,New Hampshire,Northeast,5.48
2001,NH,New Hampshire,Northeast,7.5
2002,NH,New Hampshire,Northeast,4.44
2003,NH,New Hampshire,Northeast,3.23
2004,NH,New Hampshire,Northeast,7.43
2005,NH,New Hampshire,Northeast,4.99
2006,NH,New Hampshire,Northeast,4.46
2007,NH,New Hampshire,Northeast,3.58
2008,NH,New Hampshire,Northeast,4.46
2009,NH,New Hampshire,Northeast,9.3
2010,NH,New Hampshire,Northeast,8.29
2011,NH,New Hampshire,Northeast,6.76
2012,NH,New Hampshire,Northeast,4.93
2013,NH,New Hampshire,Northeast,6.63
2014,NH,New Hampshire,Northeast,3.79
2015,NH,New Hampshire,Northeast,5.23
2016,NH,New Hampshire,Northeast,4.75
2017,NH,New Hampshire,Northeast,4.69
2018,NH,New Hampshire,Northeast,3.31
2019,NH,New Hampshire,Northeast,6.63
2020,NH,New Hampshire,Northeast,12.27
2021,NH,New Hampshire,Northeast,5.69
2022,NH,New Hampshire,Northeast,3.12
2023,NH,New Hampshire,Northeast,2.61
2024,NH,New Hampshire,Northeast,4.39
2000,NJ,New Jersey,Northeast,4.79
2001,NJ,New Jersey,Northeast,3.55
2002,NJ,New Jersey,Northeast,5.78
2003,NJ,New Jersey,Northeast,5.2
2004,NJ,New Jersey,Northeast,4.86
2005,NJ,New Jersey,Northeast,5.13
2006,NJ,New Jersey,Northeast,5.81
2007,NJ,New Jersey,Northeast,5.06
2008,NJ,New Jersey,Northeast,4.95
2009,NJ,New Jersey,Northeast,8.76
2010,NJ,New Jersey,Northeast,8.3
2011,NJ,New Jersey,Northeast,6.8
2012,NJ,New Jersey,Northeast,4.1
2013,NJ,New Jersey,Northeast,4.82
2014,NJ,New Jersey,Northeast,3.57
2015,NJ,New Jersey,Northeast,4.05
2016,NJ,New Jersey,Northeast,4.98
2017,NJ,New Jersey,Northeast,4.53
2018,NJ,New Jersey,Northeast,5.51
2019,NJ,New Jersey,Northeast,6.24
2020,NJ,New Jersey,Northeast,10.0
2021,NJ,New Jersey,Northeast,5.53
2022,NJ,New Jersey,Northeast,3.85
2023,NJ,New Jersey,Northeast,4.95
2024,NJ,New Jersey,Northeast,4.29
